Date,Open,High,Low,Close,Adj Close,Volume
2020-03-10,164500.000000,174500.000000,164000.000000,173000.000000,173000.000000,950875
2020-03-11,172000.000000,174500.000000,167000.000000,169000.000000,169000.000000,550227
2020-03-12,167000.000000,169000.000000,158500.000000,161000.000000,161000.000000,1218070
2020-03-13,150000.000000,161500.000000,145000.000000,159000.000000,159000.000000,1601985
2020-03-16,162000.000000,164000.000000,147500.000000,147500.000000,147500.000000,1252484
2020-03-17,141000.000000,150500.000000,140000.000000,147500.000000,147500.000000,1221046
2020-03-18,148500.000000,152000.000000,140500.000000,141000.000000,141000.000000,1107527
2020-03-19,145500.000000,147000.000000,127500.000000,134000.000000,134000.000000,2157141
2020-03-20,138000.000000,151000.000000,134500.000000,149500.000000,149500.000000,1765756
2020-03-23,138000.000000,148000.000000,137500.000000,143500.000000,143500.000000,1569378
2020-03-24,150500.000000,155000.000000,147000.000000,154500.000000,154500.000000,1271387
2020-03-25,160500.000000,162500.000000,151000.000000,154500.000000,154500.000000,1290376
2020-03-26,155000.000000,156000.000000,150000.000000,150500.000000,150500.000000,893688
2020-03-27,156500.000000,157000.000000,149000.000000,152500.000000,152500.000000,958988
2020-03-30,149500.000000,154500.000000,147500.000000,153000.000000,153000.000000,668254
2020-03-31,155000.000000,159000.000000,152000.000000,155500.000000,155500.000000,1042474
2020-04-01,156000.000000,158500.000000,150000.000000,150500.000000,150500.000000,794295
2020-04-02,152000.000000,157000.000000,149000.000000,157000.000000,157000.000000,1043790
2020-04-03,158500.000000,159000.000000,155000.000000,157500.000000,157500.000000,545749
2020-04-06,158500.000000,161000.000000,157500.000000,160500.000000,160500.000000,807805
2020-04-07,163500.000000,164500.000000,158500.000000,160000.000000,160000.000000,920798
2020-04-08,159000.000000,160500.000000,158000.000000,158000.000000,158000.000000,738303
2020-04-09,161000.000000,161000.000000,157500.000000,158000.000000,158000.000000,726920
2020-04-10,158500.000000,161500.000000,157000.000000,161000.000000,161000.000000,753323
2020-04-13,161000.000000,161000.000000,157000.000000,157500.000000,157500.000000,470251
2020-04-14,159500.000000,160500.000000,158000.000000,159500.000000,159500.000000,430759
2020-04-16,159000.000000,167000.000000,158500.000000,165500.000000,165500.000000,1005533
2020-04-17,169000.000000,172500.000000,167500.000000,172000.000000,172000.000000,947794
2020-04-20,172500.000000,179000.000000,172000.000000,175000.000000,175000.000000,859303
2020-04-21,176500.000000,177500.000000,168500.000000,175500.000000,175500.000000,1232126
2020-04-22,174000.000000,177000.000000,171500.000000,177000.000000,177000.000000,686146
2020-04-23,181500.000000,186500.000000,180500.000000,185500.000000,185500.000000,1509799
2020-04-24,184500.000000,188500.000000,182000.000000,183000.000000,183000.000000,1073684
2020-04-27,183000.000000,187000.000000,181500.000000,184000.000000,184000.000000,721963
2020-04-28,185500.000000,186500.000000,181500.000000,185000.000000,185000.000000,668638
2020-04-29,184000.000000,186500.000000,182500.000000,184000.000000,184000.000000,659512
2020-05-04,181500.000000,190000.000000,180000.000000,186500.000000,186500.000000,1019409
2020-05-06,189000.000000,200000.000000,188000.000000,199500.000000,199500.000000,2035947
2020-05-07,199500.000000,207500.000000,198500.000000,206000.000000,206000.000000,2629709
2020-05-08,206500.000000,210000.000000,204000.000000,206000.000000,206000.000000,1405404
2020-05-11,207000.000000,211500.000000,206500.000000,207500.000000,207500.000000,1048413
2020-05-12,209000.000000,216500.000000,206000.000000,214500.000000,214500.000000,1563095
2020-05-13,211500.000000,216500.000000,211500.000000,216500.000000,216500.000000,1113608
2020-05-14,216000.000000,228000.000000,214000.000000,225000.000000,225000.000000,1459813
2020-05-15,228500.000000,231500.000000,216000.000000,221500.000000,221500.000000,1524083
2020-05-18,221500.000000,225500.000000,218500.000000,221000.000000,221000.000000,744533
2020-05-19,221500.000000,222500.000000,214000.000000,220000.000000,220000.000000,1308903
2020-05-20,223500.000000,234500.000000,222000.000000,231500.000000,231500.000000,1773960
2020-05-21,237500.000000,240000.000000,234500.000000,237500.000000,237500.000000,1408737
2020-05-22,237500.000000,248500.000000,235000.000000,247000.000000,247000.000000,1887064
2020-05-25,251000.000000,270000.000000,249000.000000,268000.000000,268000.000000,2653776
2020-05-26,273500.000000,279500.000000,261000.000000,270000.000000,270000.000000,3274293
2020-05-27,262000.000000,267000.000000,257000.000000,260500.000000,260500.000000,2015974
2020-05-28,257500.000000,270000.000000,252500.000000,267000.000000,267000.000000,2495048
2020-05-29,263500.000000,267500.000000,257500.000000,263500.000000,263500.000000,1645822
2020-06-01,263500.000000,266000.000000,259500.000000,264000.000000,264000.000000,1083698
2020-06-02,262500.000000,263000.000000,257000.000000,259500.000000,259500.000000,978846
2020-06-03,259500.000000,261500.000000,247500.000000,249500.000000,249500.000000,2302391
2020-06-04,247500.000000,257000.000000,247000.000000,254000.000000,254000.000000,1228950
2020-06-05,253000.000000,253500.000000,247500.000000,251000.000000,251000.000000,1007264
2020-06-08,252500.000000,258000.000000,248500.000000,256500.000000,256500.000000,1417078
2020-06-09,255500.000000,259500.000000,252500.000000,254500.000000,254500.000000,834862
2020-06-10,256500.000000,263500.000000,256500.000000,262000.000000,262000.000000,1575452
2020-06-11,264000.000000,268000.000000,261000.000000,265000.000000,265000.000000,1724551
2020-06-12,256500.000000,268000.000000,256000.000000,266000.000000,266000.000000,1688975
2020-06-15,266000.000000,271000.000000,250000.000000,252500.000000,252500.000000,1549230
2020-06-16,260500.000000,263000.000000,258000.000000,263000.000000,263000.000000,915456
2020-06-17,261500.000000,268000.000000,258000.000000,263000.000000,263000.000000,1162204
2020-06-18,264500.000000,267000.000000,260500.000000,263500.000000,263500.000000,981144
2020-06-19,267500.000000,269500.000000,262000.000000,263500.000000,263500.000000,920126
2020-06-22,263500.000000,276000.000000,260500.000000,274000.000000,274000.000000,2008656
2020-06-23,279000.000000,289000.000000,277000.000000,281500.000000,281500.000000,2166267
2020-06-24,281500.000000,284000.000000,275000.000000,282500.000000,282500.000000,1081233
2020-06-25,278500.000000,282000.000000,273500.000000,274500.000000,274500.000000,900258
2020-06-26,279500.000000,280000.000000,268000.000000,274500.000000,274500.000000,812726
2020-06-29,269000.000000,273500.000000,266000.000000,267500.000000,267500.000000,778818
2020-06-30,272000.000000,273000.000000,267500.000000,267500.000000,267500.000000,624089
2020-07-01,271500.000000,275000.000000,267500.000000,269500.000000,269500.000000,578023
2020-07-02,273500.000000,285500.000000,273000.000000,285500.000000,285500.000000,1378545
2020-07-03,289500.000000,297000.000000,284000.000000,294000.000000,294000.000000,1604493
2020-07-06,298000.000000,307500.000000,297000.000000,300500.000000,300500.000000,1344851
2020-07-07,306500.000000,318000.000000,304000.000000,310500.000000,310500.000000,1552820
2020-07-08,312000.000000,328000.000000,305000.000000,328000.000000,328000.000000,1869663
2020-07-09,335000.000000,355500.000000,332000.000000,355500.000000,355500.000000,2463503
2020-07-10,351000.000000,368000.000000,345500.000000,355500.000000,355500.000000,2566935
2020-07-13,359000.000000,361000.000000,345000.000000,352000.000000,352000.000000,1391744
2020-07-14,340500.000000,346500.000000,340000.000000,343000.000000,343000.000000,1212519
2020-07-15,344000.000000,349500.000000,332000.000000,337500.000000,337500.000000,1487417
2020-07-16,332000.000000,335500.000000,319000.000000,322000.000000,322000.000000,1941508
2020-07-17,319000.000000,327000.000000,314000.000000,325000.000000,325000.000000,1268587
2020-07-20,325000.000000,325000.000000,310000.000000,310000.000000,310000.000000,1534422
2020-07-21,323500.000000,326000.000000,311500.000000,316000.000000,316000.000000,1676630
2020-07-22,310500.000000,321500.000000,306000.000000,318000.000000,318000.000000,1159298
2020-07-23,316500.000000,329500.000000,315000.000000,329500.000000,329500.000000,1260435
2020-07-24,325000.000000,333000.000000,322000.000000,324500.000000,324500.000000,907643
2020-07-27,321000.000000,329500.000000,320500.000000,326500.000000,326500.000000,603322
2020-07-28,332000.000000,336000.000000,328500.000000,329500.000000,329500.000000,873063
2020-07-29,329000.000000,333000.000000,325000.000000,331500.000000,331500.000000,618435
2020-07-30,336000.000000,337000.000000,331500.000000,332000.000000,332000.000000,615872
2020-07-31,336000.000000,344000.000000,335500.000000,343500.000000,343500.000000,1078837
2020-08-03,347500.000000,366000.000000,347000.000000,366000.000000,366000.000000,1636803
2020-08-04,378500.000000,384000.000000,361000.000000,370000.000000,370000.000000,1714642
2020-08-05,366000.000000,371000.000000,362500.000000,370500.000000,370500.000000,1075879
2020-08-06,358500.000000,372500.000000,357500.000000,364000.000000,364000.000000,1848898
2020-08-07,368000.000000,370000.000000,350500.000000,353000.000000,353000.000000,1899111
2020-08-10,346000.000000,358500.000000,341500.000000,356000.000000,356000.000000,1086391
2020-08-11,351500.000000,357000.000000,347500.000000,352500.000000,352500.000000,750285
2020-08-12,348500.000000,356500.000000,347500.000000,354000.000000,354000.000000,729434
2020-08-13,359000.000000,365000.000000,356500.000000,360500.000000,360500.000000,1117859
2020-08-14,361000.000000,366000.000000,358000.000000,362500.000000,362500.000000,825802
2020-08-18,371500.000000,389500.000000,367500.000000,378000.000000,378000.000000,3032037
2020-08-19,384500.000000,385000.000000,372000.000000,376500.000000,376500.000000,1359266
2020-08-20,376000.000000,383000.000000,359500.000000,364500.000000,364500.000000,1686740
2020-08-21,370000.000000,373500.000000,362000.000000,370000.000000,370000.000000,1021460
2020-08-24,374500.000000,382500.000000,367500.000000,380000.000000,380000.000000,969648
2020-08-25,384500.000000,385000.000000,377000.000000,381000.000000,381000.000000,887733
2020-08-26,380500.000000,394000.000000,378000.000000,392000.000000,392000.000000,1351029
2020-08-27,396500.000000,413000.000000,396000.000000,410500.000000,410500.000000,1981840
2020-08-28,413500.000000,416000.000000,400000.000000,405500.000000,405500.000000,1506996
2020-08-31,410500.000000,420500.000000,401000.000000,407000.000000,407000.000000,1629751
2020-09-01,413500.000000,416000.000000,400000.000000,401500.000000,401500.000000,1100736
2020-09-02,405500.000000,412500.000000,401500.000000,412000.000000,412000.000000,921655
2020-09-03,415500.000000,416000.000000,404000.000000,410000.000000,410000.000000,739215
2020-09-04,390000.000000,404500.000000,389500.000000,402000.000000,402000.000000,1168529
2020-09-07,401500.000000,401500.000000,391000.000000,392000.000000,392000.000000,928939
2020-09-08,393500.000000,398500.000000,380500.000000,390000.000000,390000.000000,1020539
2020-09-09,381500.000000,388000.000000,379000.000000,384000.000000,384000.000000,935573
2020-09-10,392000.000000,396500.000000,384000.000000,385500.000000,385500.000000,936708
2020-09-11,382000.000000,384000.000000,375500.000000,379000.000000,379000.000000,792840
2020-09-14,377000.000000,378000.000000,369000.000000,373500.000000,373500.000000,830231
2020-09-15,371000.000000,385000.000000,369000.000000,381000.000000,381000.000000,860038
2020-09-16,384000.000000,384500.000000,377000.000000,377000.000000,377000.000000,485743
2020-09-17,373500.000000,374000.000000,369000.000000,371000.000000,371000.000000,617702
2020-09-18,369000.000000,377000.000000,366000.000000,373000.000000,373000.000000,495271
2020-09-21,371500.000000,374000.000000,364000.000000,364500.000000,364500.000000,530255
2020-09-22,361000.000000,369000.000000,351000.000000,353000.000000,353000.000000,880318
2020-09-23,358500.000000,367000.000000,353000.000000,365500.000000,365500.000000,930394
2020-09-24,361000.000000,361500.000000,351000.000000,352000.000000,352000.000000,763638
2020-09-25,356000.000000,358000.000000,346500.000000,351500.000000,351500.000000,449701
2020-09-28,356500.000000,372000.000000,354000.000000,369000.000000,369000.000000,674705
2020-09-29,374500.000000,375000.000000,364000.000000,364500.000000,364500.000000,612054
2020-10-05,360500.000000,370500.000000,358000.000000,370500.000000,370500.000000,522228
2020-10-06,373500.000000,383500.000000,370000.000000,381500.000000,381500.000000,765339
2020-10-07,378000.000000,381500.000000,376000.000000,380500.000000,380500.000000,398285
2020-10-08,383500.000000,387000.000000,379000.000000,379000.000000,379000.000000,624658
2020-10-12,383000.000000,383000.000000,371000.000000,371500.000000,371500.000000,471624
2020-10-13,374000.000000,377000.000000,371500.000000,372000.000000,372000.000000,302317
2020-10-14,370000.000000,375000.000000,366000.000000,368500.000000,368500.000000,333008
2020-10-15,368000.000000,368500.000000,360000.000000,362000.000000,362000.000000,422566
2020-10-16,361000.000000,362000.000000,355000.000000,357500.000000,357500.000000,400405
2020-10-19,358000.000000,362500.000000,352000.000000,353000.000000,353000.000000,362402
2020-10-20,348000.000000,353000.000000,340000.000000,352500.000000,352500.000000,759973
2020-10-21,351000.000000,361000.000000,351000.000000,353500.000000,353500.000000,516282
2020-10-22,351500.000000,352000.000000,345500.000000,349000.000000,349000.000000,376380
2020-10-23,348500.000000,350000.000000,340000.000000,340000.000000,340000.000000,622592
2020-10-26,337000.000000,341000.000000,328000.000000,329500.000000,329500.000000,714722
2020-10-27,324500.000000,343500.000000,324500.000000,334000.000000,334000.000000,812610
2020-10-28,335500.000000,346500.000000,335000.000000,346500.000000,346500.000000,629567
2020-10-29,342000.000000,345500.000000,338500.000000,343000.000000,343000.000000,491546
2020-10-30,343000.000000,344000.000000,330000.000000,330000.000000,330000.000000,553748
2020-11-02,330500.000000,335500.000000,328000.000000,334500.000000,334500.000000,319856
2020-11-03,334500.000000,339000.000000,332000.000000,336500.000000,336500.000000,403786
2020-11-04,340500.000000,361000.000000,340000.000000,359500.000000,359500.000000,1431026
2020-11-05,359000.000000,368500.000000,353000.000000,363000.000000,363000.000000,1061367
2020-11-06,367000.000000,380500.000000,365500.000000,370500.000000,370500.000000,1315572
2020-11-09,375000.000000,376000.000000,367500.000000,371500.000000,371500.000000,593735
2020-11-10,357500.000000,361500.000000,354000.000000,356000.000000,356000.000000,1105100
2020-11-11,351500.000000,358500.000000,347500.000000,355500.000000,355500.000000,713843
2020-11-12,360000.000000,364500.000000,355000.000000,357500.000000,357500.000000,555279
2020-11-13,355000.000000,366000.000000,355000.000000,365500.000000,365500.000000,538206
2020-11-16,371000.000000,371500.000000,359500.000000,362000.000000,362000.000000,557987
2020-11-17,358000.000000,365000.000000,356000.000000,362000.000000,362000.000000,452275
2020-11-18,360000.000000,368500.000000,359500.000000,365500.000000,365500.000000,484493
2020-11-19,367500.000000,371500.000000,365500.000000,365500.000000,365500.000000,430120
2020-11-20,366500.000000,368000.000000,362000.000000,365500.000000,365500.000000,267266
2020-11-23,368500.000000,369000.000000,365000.000000,367000.000000,367000.000000,363196
2020-11-24,366500.000000,377000.000000,366500.000000,373000.000000,373000.000000,649755
2020-11-25,377500.000000,377500.000000,366000.000000,367000.000000,367000.000000,703279
2020-11-26,367500.000000,374500.000000,366500.000000,374000.000000,374000.000000,539570
2020-11-27,375500.000000,377500.000000,371000.000000,373000.000000,373000.000000,335836
